管理番号,消火器種別,所在,経度,緯度,備考
都-319-16,強化液消火器（３型）,東京都台東区北上野2-31-7,139.7849818,35.71941619,
都-319-17,強化液消火器（３型）,東京都台東区北上野2-30-8,139.784429,35.71958889,
都-319-18,強化液消火器（３型）,東京都台東区下谷1-12-16,139.7832469,35.71994176,
都-319-19,強化液消火器（３型）,東京都台東区下谷1-12-12,139.7822289,35.72026706,
都-319-20,強化液消火器（３型）,東京都台東区下谷1-13-10,139.781714,35.72042135,
都-319-21,強化液消火器（３型）,東京都台東区根岸1-1-24,139.7810673,35.72073493,
都-319-22,強化液消火器（３型）,東京都台東区根岸1-1-19,139.7805796,35.72111543,
都-319-23,強化液消火器（３型）,東京都台東区根岸1-2-14,139.7799123,35.72184508,
都-319-24,強化液消火器（３型）,東京都台東区根岸1-5-13,139.7791799,35.72255375,
都-319-25,強化液消火器（３型）,東京都台東区根岸1-9-8,139.7779893,35.72302931,
都-319-26,強化液消火器（３型）,東京都台東区根岸1-10-12,139.7771016,35.7233418,
都-319-27,強化液消火器（３型）,東京都台東区上野桜木1-15-6,139.7750134,35.72307831,
都-319-28,強化液消火器（３型）,東京都台東区上野桜木1-14-22,139.7743082,35.72256978,
都-319-29,強化液消火器（３型）,東京都台東区上野桜木1-14-15,139.77344,35.72192389,
都-319-30,強化液消火器（３型）,東京都台東区上野桜木1-12-12,139.7724722,35.72157153,
都-319-31,強化液消火器（３型）,東京都台東区上野桜木1-11-10,139.7711122,35.72113118,
都-319-32,強化液消火器（３型）,東京都台東区上野桜木1-10-19,139.7701999,35.72087342,
都-319-33,強化液消火器（３型）,東京都台東区谷中1-1-30,139.7693403,35.72055647,
都-319-34,強化液消火器（３型）,東京都台東区谷中1-1-23,139.7683031,35.71987594,
都-319-35,強化液消火器（３型）,東京都台東区谷中1-1-16,139.7676758,35.71947208,
都-319-36,強化液消火器（３型）,東京都台東区谷中1-2-12,139.7666369,35.71883505,
都-319-37,強化液消火器（３型）,東京都台東区谷中1-3-2,139.7667379,35.71900304,
都-319-38,強化液消火器（３型）,東京都台東区谷中1-5-7,139.7679003,35.7197186,
都-319-39,強化液消火器（３型）,東京都台東区谷中1-5-2,139.7686996,35.72024426,
都-319-40,強化液消火器（３型）,東京都台東区谷中6-1-8,139.769672,35.72080977,
都-319-41,強化液消火器（３型）,東京都台東区上野桜木2-9-8,139.7719142,35.72146166,
都-319-42,強化液消火器（３型）,東京都台東区上野桜木2-6-4,139.7731505,35.72190741,
都-319-43,強化液消火器（３型）,東京都台東区上野桜木2-6-19,139.7738094,35.72229977,
都-319-44,強化液消火器（３型）,東京都台東区上野桜木2-1-1,139.7753784,35.72345603,
都-319-45,強化液消火器（３型）,東京都台東区根岸2-3-2,139.7767678,35.72377317,
都-319-46,強化液消火器（３型）,東京都台東区根岸2-1-9,139.7781418,35.72332229,
都-319-47,強化液消火器（３型）,東京都台東区根岸3-8-4,139.7786185,35.72312049,
都-319-48,強化液消火器（３型）,東京都台東区根岸3-6-1,139.7802109,35.72200536,
都-319-49,強化液消火器（３型）,東京都台東区根岸3-4-1,139.7806933,35.72146643,
都-319-50,強化液消火器（３型）,東京都台東区下谷2-4-1,139.7820139,35.72058892,
都-319-51,強化液消火器（３型）,東京都台東区下谷2-3-2,139.7826827,35.72037253,
都-319-52,強化液消火器（３型）,東京都台東区下谷2-1-2,139.7834494,35.72012533,
都-319-53,強化液消火器（３型）,東京都台東区入谷1-5-3,139.7847481,35.71970889,
都-319-54,強化液消火器（３型）,東京都台東区入谷1-4-3,139.7854888,35.71946992,
都-319-55,強化液消火器（３型）,東京都台東区入谷1-3-2,139.7863787,35.71919557,
都-319-56,強化液消火器（３型）,東京都台東区入谷1-1-3,139.7873889,35.71886374,
都-319-57,強化液消火器（３型）,東京都台東区入谷2-1-3,139.7889614,35.71836963,
都-319-58,強化液消火器（３型）,東京都台東区千束1-9-6,139.7897768,35.71813076,
都-319-59,強化液消火器（３型）,東京都台東区千束1-7-1,139.7908989,35.71783347,
都-319-60,強化液消火器（３型）,東京都台東区千束1-1-3,139.7921673,35.71753344,
都-319-61,強化液消火器（３型）,東京都台東区浅草3-12-1,139.7930924,35.71729718,
都-319-62,強化液消火器（３型）,東京都台東区浅草3-9-4,139.794591,35.7169029,
都-319-63,強化液消火器（３型）,東京都台東区浅草3-8-2,139.7951393,35.71676491,
都-319-64,強化液消火器（３型）,東京都台東区浅草3-5-2,139.7964585,35.71642487,
都-319-65,強化液消火器（３型）,東京都台東区浅草3-4-2,139.7971338,35.71625727,
都-319-66,強化液消火器（３型）,東京都台東区浅草3-3-1,139.7977694,35.71609828,
都-319-67,強化液消火器（３型）,東京都台東区浅草6-9-2,139.799297,35.71575654,
都-319-68,強化液消火器（３型）,東京都台東区浅草6-5-1,139.8005358,35.71547879,
都-319-69,強化液消火器（３型）,東京都台東区浅草6-1-3,139.8014006,35.71528183,
都-373-1,強化液消火器（３型）,東京都台東区蔵前3-21-5,139.7929797,35.70525067,
都-373-2,強化液消火器（３型）,東京都台東区蔵前3-22-8,139.792001,35.70557148,
都-373-3,強化液消火器（３型）,東京都台東区蔵前3-17-7,139.7910318,35.70589895,
都-373-4,強化液消火器（３型）,東京都台東区蔵前4-33-7,139.789805,35.70612536,
都-373-5,強化液消火器（３型）,東京都台東区蔵前4-37-9,139.7883052,35.70628307,
都-373-6,強化液消火器（３型）,東京都台東区三筋2-24-8,139.7873899,35.70637615,
都-373-7,強化液消火器（３型）,東京都台東区三筋2-21-8,139.7855824,35.70656387,
都-373-8,強化液消火器（３型）,東京都台東区小島2-18-14,139.7841382,35.70672304,
都-373-9,強化液消火器（３型）,東京都台東区小島2-21-10,139.7825104,35.70688919,
都-373-10,強化液消火器（３型）,東京都台東区台東4-25-8,139.7810658,35.7070453,
都-373-11,強化液消火器（３型）,東京都台東区台東4-26-8,139.7806942,35.70708452,
都-373-12,強化液消火器（３型）,東京都台東区台東4-28-11,139.779667,35.70717061,
都-373-13,強化液消火器（３型）,東京都台東区台東4-29-12,139.7786291,35.70730956,
都-373-14,強化液消火器（３型）,東京都台東区台東4-31-7,139.7773647,35.70744197,
都-373-17,強化液消火器（３型）,東京都台東区東上野1-12-1,139.7780122,35.70756292,
都-373-18,強化液消火器（３型）,東京都台東区東上野1-8-1,139.7793851,35.70740656,
都-373-19,強化液消火器（３型）,東京都台東区東上野1-6-1,139.7803566,35.7073115,
都-373-20,強化液消火器（３型）,東京都台東区東上野1-2-13,139.7812895,35.70720671,
都-373-21,強化液消火器（３型）,東京都台東区元浅草1-5-3,139.7823548,35.70707568,
都-373-22,強化液消火器（３型）,東京都台東区元浅草1-4-1,139.7834903,35.70695944,
都-373-23,強化液消火器（３型）,東京都台東区元浅草1-1-3,139.7845532,35.70684702,
都-373-24,強化液消火器（３型）,東京都台東区元浅草3-6-1,139.7853239,35.7067654,
都-373-25,強化液消火器（３型）,東京都台東区元浅草3-3-1,139.7864635,35.70665295,
都-373-26,強化液消火器（３型）,東京都台東区元浅草3-1-3,139.7873743,35.70655138,
都-373-27,強化液消火器（３型）,東京都台東区寿1-11-2,139.7885249,35.70643252,
都-373-28,強化液消火器（３型）,東京都台東区寿1-2-4,139.7895935,35.70631431,
都-373-29,強化液消火器（３型）,東京都台東区寿3-6-1,139.7914032,35.70595944,
都-373-30,強化液消火器（３型）,東京都台東区駒形1-1-2,139.7928906,35.70544464,
都-373-31,強化液消火器（３型）,東京都台東区駒形2-3-4,139.7937196,35.70513446,
都-437-1,強化液消火器（３型）,東京都台東区上野4-10-9,139.7744456,35.7113804,
都-437-2,強化液消火器（３型）,東京都台東区上野4-10-7,139.774199,35.71094429,
都-437-3,強化液消火器（３型）,東京都台東区上野4-9-6,139.7738019,35.71020935,
都-437-4,強化液消火器（３型）,東京都台東区上野4-5-4,139.7734229,35.70884878,
都-437-5,強化液消火器（３型）,東京都台東区上野4-4-4,139.7732897,35.70830273,
都-437-6,強化液消火器（３型）,東京都台東区上野3-24-4,139.7728744,35.70693366,
都-437-7,強化液消火器（３型）,東京都台東区上野3-17-7,139.7724408,35.70618118,
都-437-8,強化液消火器（３型）,東京都台東区上野3-16-5,139.7722071,35.7056522,
都-437-9,強化液消火器（３型）,東京都台東区上野1-10-12,139.7718936,35.70589961,
都-437-10,強化液消火器（３型）,東京都台東区上野1-19-4,139.7722948,35.70648834,
都-437-11,強化液消火器（３型）,東京都台東区上野1-20-11,139.772786,35.70746419,
